fold_id,scheme,strategy,basis,is_sharpe,oos_sharpe,status
cpcv_03_07,cpcv,VIX hedge sleeve,gross,-0.40535335111430637,-0.8546094598917848,ok
cpcv_03_08,cpcv,Equity-option Greek Markowitz,gross,1.9498777816152446,0.7770025212770477,ok
cpcv_03_08,cpcv,Greek Markowitz + VIX,gross,1.3283733836317437,1.022135113903034,ok
cpcv_03_08,cpcv,Beta/delta-neutral + VIX,gross,1.3214517025315016,0.89224667853843,ok
cpcv_03_08,cpcv,Equal premium,gross,0.17102807890961072,0.5643772464021832,ok
cpcv_03_08,cpcv,Equal risk,gross,0.39720500718157936,0.862399134629473,ok
cpcv_03_08,cpcv,VIX hedge sleeve,gross,-0.37237274237389173,-1.2070612851180789,ok
cpcv_03_09,cpcv,Equity-option Greek Markowitz,gross,1.8280619158711295,1.0038208970013522,ok
cpcv_03_09,cpcv,Greek Markowitz + VIX,gross,1.134289891605041,1.9408735645732629,ok
cpcv_03_09,cpcv,Beta/delta-neutral + VIX,gross,1.153513192353663,1.2838421660196264,ok
cpcv_03_09,cpcv,Equal premium,gross,0.1229085355509382,0.4778360737142645,ok
